"customer_id","gender","age","marital_status","dependents","tenure_months","city","state","meal_kind","dietary","meal_type","cook_days_per_week","recipes_per_week","latest_discount_used_pct","uses_other_meal_kits","skips_last_3_months","delivery_issues_last_3mo","app_logins_per_month","recipe_rating","customer_service_rating","price_per_recipe","monthly_charges","total_charges","churn","IMP_income","M_income"
"HF_000001","M",27,"Single",2,47,"San Diego","CA","Veggie","Low Calories","Premium",2,5,0.77,"No",0,0,10,2,1,12.23,244.6,11496.2,1,50737,0
"HF_000002","F",61,"Single",0,29,"San Francisco","CA","Pescatarian","Low Sugar","Premium",3,2,0.82,"No",5,1,7,3,2,12.66,101.28,2937.12,1,277523,0
"HF_000003","M",75,"Single",2,13,"Austin","TX","Meat & Veggie","Low Salt","Quick & Easy",5,6,0.09,"No",4,0,44,5,1,8.76,210.24,2733.12,0,205022,0
"HF_000004","M",28,"Married",1,24,"Los Angeles","CA","Pescatarian","Plant Based","Premium",1,6,0.61,"No",4,0,13,4,2,12.99,311.76,7482.24,0,86036,0
"HF_000005","M",43,"Single",1,22,"Brooklyn","NY","Meat & Veggie","Plant Based","Quick & Easy",2,2,0.16,"Yes",2,0,22,4,1,10.87,86.96,1913.12,0,228287,0
"HF_000006","F",77,"Single",0,33,"Dallas","TX","Pescatarian","Low Calories","Quick & Easy",6,5,0.62,"No",1,1,3,5,4,10,200,6600,0,213355,0
"HF_000007","M",53,"Single",0,26,"Miami","FL","Meat & Veggie","High Protein","Classic",7,3,0.13,"No",0,0,3,3,4,12.38,148.56,3862.56,0,115658,0
"HF_000008","M",63,"Married",3,21,"Cambridge","MA","Veggie","Low Carb","Quick & Easy",6,2,0.15,"No",4,2,22,3,5,9.85,78.8,1654.8,0,272098,0
"HF_000009","M",43,"Single",0,18,"Austin","TX","Veggie","Plant Based","Quick & Easy",2,4,0.13,"Yes",2,1,0,3,4,9.45,151.2,2721.6,0,84735,0
"HF_000010","F",27,"Single",0,5,"Rochester","NY","Meat & Veggie","Low Sugar","Classic",7,6,0.34,"Yes",4,0,22,1,1,10.79,258.96,1294.8,1,234962,0
"HF_000011","M",30,"Single",0,31,"Buffalo","NY","Meat & Veggie","Plant Based","Quick & Easy",7,5,0.07,"No",0,3,37,5,2,8.3,166,5146,0,160777,0
"HF_000012","M",68,"Married",1,16,"Atlanta","GA","Meat & Veggie","Low Carb","Quick & Easy",7,6,0.81,"Yes",1,2,44,5,1,9.66,231.84,3709.44,0,123863,0
"HF_000013","M",61,"Single",0,33,"Austin","TX","Pescatarian","Low Sugar","Premium",7,3,0.97,"No",5,2,34,1,5,13.11,157.32,5191.56,0,177479,0
"HF_000014","F",77,"Married",0,11,"Houston","TX","Meat & Veggie","Low Salt","Classic",1,2,0.01,"No",3,1,11,4,5,9.81,78.48,863.28,0,244896,0
